weeks	baby_id	g__Bifidobacterium	B_adolescentis	B_angulatum	B_animalis	B_bifidum	B_breve	B_catenulatum	B_dentium	B_longum	B_pseudocatenulatum	B_pseudolongum	B_psychraerophilum
11	153	88.70854	0	0	0	9.34179	77.38831	0	0.21572	0.7571100000000001	1.0056100000000001	0	0
11	156	79.78924	0.0035399999999999997	0	0	0.06195	0	0	79.72359	1.6e-4	0	0	0
11	305	1.33261	0	0	0.04072	0.5301600000000001	0.09269	0	0	0.51539	0.15365	0	0
11	147	0.24448000000000003	1.5e-4	0	0.0121	0.06088	0.013269999999999999	0	0	0.09389	0.0642	0	0
11	498	0.02019	0	0	0	0.0016600000000000002	0	0	0	0.01853	0	0	0
11	542	0.11005	0	0	0	0.00728	0	0	0	0.09636	0.006409999999999999	0	0
11	230	2.1749	0	0	0	0.9616899999999999	1.1165100000000001	0	0	0.0967	0	0	0
11	526	0.014969999999999999	0	0	0	0.014969999999999999	0	0	0	0	0	0	0
11	245	12.502939999999999	0	0	0	0	12.36422	0	0	0.13872	0	0	0
12	317	72.047	0.07153999999999999	0	0	0.07393999999999999	71.49955	0	0.028489999999999998	0.37346999999999997	0	0	0
12	249	24.09455	0.05018	0	0	0.03195	23.75903	0	0	0.24461999999999998	0.00877	0	0
12	135	0.28031	0.10902	0	0	0.0488	0.06051	0	0	0.058429999999999996	0.0035600000000000002	0	0
12	305	1.45354	0	0	0.006999999999999999	0.44431000000000004	0.006809999999999999	0	0	0.99541	0	0	0
12	376	0.31098000000000003	0	0	0	0	0	0	0	0.31098000000000003	0	0	0
12	219	0.45438	0.01661	0	0	0.1588	0.11337	0	0	0.16089	0.00471	0	0
12	257	0.8745200000000001	0.05722000000000001	0	0.064	0.26675	0.1583	0	0.010490000000000001	0.30094	0.016819999999999998	0	0
12	256	0.16427	0.006529999999999999	0	0.09675	0.060989999999999996	0	0	0	0	0	0	0
12	216	7.06378	0	0	0.33853	0.0194	6.64827	0	0.028710000000000003	0.02887	0	0	0
12	293	14.12074	0.02914	0	0.03085	0.06238	0.00507	0	0	13.850179999999998	0.14313	0	0
12	262	1.30167	0.69612	0	0.1619	0.08625	0.022619999999999998	0	0	0.33478	0	0	0
12	337	85.88748000000001	0.00583	0	0	0.12068	0.00913	0	0.023569999999999997	85.71314	0.01514	0	0
12	319	2.40721	0.01883	0	0.74023	0.11092	0.54345	0	0.06608	0.92399	0.0037	0	0
12	141	87.55856	0	0	0	18.90983	0.06998	0	10.65518	57.92354	2.9999999999999997e-5	0	0
13	285	32.01984	0.05014	0	0.0201	0.04678	0	0	8.699999999999999e-4	31.90195	0	0	0
13	285	89.36525	1.6999999999999999e-4	0	0.0096	0.14490999999999998	0.0972	0	0	89.11339	0	0	0
13	308	27.07688	0.00233	0	26.4442	0.02949	0.20343	0.00103	0.09241	0.14235	0.16164	0	0
13	42	0.58622	0	0	0	0.13812	0.07202	0	0.15564	0.22044	0	0	0
13	353	74.88163	0.028339999999999997	0	0.00462	59.66016	0.11369000000000001	0	0.00642	11.61225	3.45614	0	0
13	252	0.04743	0.01154	0	0.00446	0	0	0	0	0.03143	0	0	0
13	491	3.77561	0	0	0.019030000000000002	0.02646	0.0357	0	0.00448	3.68994	0	0	0
13	132	58.790490000000005	0.0601	0	12.85512	0.14862999999999998	0.18119000000000002	0	0.00233	45.54313	0	0	0
13	360	4.2284	0	0	0.00146	3.9576800000000003	0	0	0	0.26926	0	0	0
14	357	80.09428	0.06506	0	0	72.83168	3.04664	0	0.06559	0.88351	3.20181	0	0
14	126	5.36113	0	0.10642	0	1.67039	0.49382	0	0.03947	3.05104	0	0	0
14	250	0.06573	0	0	0.06187	0	0	0	0.00386	0	0	0	0
